GEOID,population,density,nonwhite,college,unemployment,income,gini,uninsured
01001,55200,35.26345548430645,0.7687862318840579,0.10693840579710145,0.04156681266011073,29667,0.4602,0.07139303940895775
01003,208107,47.811247567997654,0.8626619959924462,0.14622766173170532,0.04351799226594452,28632,0.4609,0.10155170064053891
01005,25782,11.005932193288462,0.47381894344891784,0.054960825382049494,0.09730105409475269,18138,0.4731,0.11179092736648895
01007,22527,13.885454634634804,0.7665468104940738,0.05313623651618058,0.0739842328684051,22298,0.4294,0.07909908149306234
01009,57645,34.20874347046979,0.9550524763639517,0.05580709515135745,0.04104637336504162,26509,0.4331,0.11025205968269516
01011,10352,6.393476663548784,0.21986089644513138,0.05081143740340031,0.11636890391115404,21020,0.5174,0.10783724193225096
01013,20025,9.940107536480074,0.5200499375780274,0.06711610486891385,0.06886152299572756,19627,0.4708,0.10160129725347117
01015,115098,72.58908135304281,0.7433491459451945,0.0700272810995847,0.08711753278290432,23036,0.4676,0.09409920659381302
01017,33826,21.6524568817936,0.5759770590669899,0.06503872760598356,0.05065359477124183,22015,0.4568,0.10806688002871415
01019,25853,16.638047589735052,0.9282094921285731,0.04923993347000348,0.052357091727170464,22353,0.4539,0.0833626450932114
01021,43930,24.20544111418082,0.8331208741179149,0.06209879353516959,0.07153434331928465,24600,0.4845,0.14162214221834943
01023,13075,5.4809751316695765,0.5674952198852773,0.05889101338432123,0.1121307072515667,20616,0.4809,0.11440710699111627
01025,24387,7.516598587136785,0.5304055439373436,0.05502931889941362,0.14042759961127307,20939,0.5185,0.10764378786621297
01027,13378,8.526665330029052,0.8301689340708626,0.0381222903274032,0.06410486622373855,22090,0.4684,0.1020719073735527
01029,14938,10.2770740930832,0.9417592716561789,0.062056500200830096,0.07329018716109847,20988,0.4622,0.12777777777777777
01031,51288,29.092544985345803,0.7589104663858992,0.10604819840898455,0.061741646443905174,26766,0.4427,0.10092575785078961
01033,54495,33.749290413419246,0.7943481053307643,0.08391595559225618,0.05882615288555883,24729,0.4496,0.08055442466412524
01035,12514,5.664992007914564,0.5089499760268499,0.05050343615151031,0.1233012107734124,17857,0.4354,0.14467880343251263
01037,10855,6.288816536749691,0.6571165361584523,0.06503915246430217,0.04433249370277078,19227,0.4646,0.07759197324414716
01039,37351,13.816068545778164,0.8466707718668844,0.0679767609970282,0.08488063660477453,23932,0.4553,0.11189039308432557
01041,13865,8.762694707408361,0.7167688424089433,0.07933645870897944,0.05853658536585366,20180,0.504,0.09958992384299942
01043,82313,42.10067950002973,0.9523647540485707,0.06131473764775916,0.050525354042941985,23467,0.4548,0.11825012891977507
01045,49255,33.81242971719551,0.728636686630799,0.07591107501776469,0.08399391899229015,24357,0.45,0.113649097099513
01047,40029,15.55169968487116,0.2812211146918484,0.05745834270154138,0.12481516332840435,19304,0.4885,0.1198772296158394
01049,71200,35.30318140315871,0.8563483146067415,0.049957865168539325,0.04461204596392614,21487,0.4748,0.1452379938389904
01051,81212,47.721946823691134,0.748953356646801,0.11018076146382308,0.06033338250479422,28458,0.4359,0.08157998165858771
01053,37328,15.12730280677715,0.6187044577796829,0.05569545649378483,0.14107102508096708,21402,0.4823,0.15466365505458546
01055,102939,72.43360601952388,0.8034855594089704,0.07613246680072665,0.06567206795631379,22866,0.4483,0.10438000509075246
01057,16585,10.173989763548747,0.8498643352426892,0.06451612903225806,0.06659267480577137,20957,0.4635,0.08825144949649069
01059,31542,18.830300252658553,0.8391034176653351,0.05148690634709276,0.05708211951814818,22432,0.4224,0.12787764615728472
01061,26491,17.667265724995318,0.8633498169189536,0.04899777282850779,0.08712450497440355,20978,0.4413,0.13703236654056325
01063,8426,4.929959549380622,0.17149299786375505,0.04403038215048659,0.17264957264957265,15789,0.5041,0.1142037988292916
01065,14887,8.758836196869959,0.3961845905823873,0.06287364814939209,0.12649824820210215,18239,0.5071,0.0876510342002867
01067,17124,11.632751869202785,0.7112240130810559,0.07591684185937865,0.06532663316582915,22656,0.435,0.11396468699839486
01069,104352,69.27732282726139,0.6936810027598896,0.0910859398957375,0.0701786241176604,24009,0.4808,0.1037291082987151
01071,52094,17.846119443599054,0.9101240066034476,0.06622643682573809,0.06071464620975068,22410,0.4616,0.09640842749985463
01073,659892,226.71231494912476,0.5191622265461621,0.13453262048941342,0.07192976687600697,27664,0.4996,0.0952348853455566
01075,13933,8.880543359775526,0.874685997272662,0.059068398765520704,0.07565850924715113,21005,0.4623,0.09421079392750781
01077,92585,49.663251836875354,0.8701301506723551,0.10156072797969433,0.05352957483807556,25519,0.4672,0.09080798168138698
01079,33171,17.863132059357334,0.782068674444545,0.05411353290524856,0.05364380513391083,24749,0.4389,0.08159173754556501
01081,159287,99.86941224568021,0.7030454462699405,0.11705286683784615,0.05494356045151639,24359,0.5081,0.0792964938734652
01083,93052,59.16695955629227,0.8075377208442591,0.1166766969006577,0.07002041121123115,27033,0.4509,0.09581941469586158
01085,10236,5.450491559100178,0.24872997264556468,0.06408753419304415,0.10853994490358126,17180,0.4999,0.09241542558437715
01087,19054,11.995188082510289,0.1587593156292642,0.07153353626535111,0.1260947964966512,17093,0.5145,0.08089016358614828
01089,357560,169.86275183347752,0.68194149233695045,0.17536916881082895,0.05745582006718271,31819,0.4673,0.08924092296866311
01091,19538,7.677412527255628,0.45321936738663116,0.061572320605998564,0.10004318410824817,20591,0.5386,0.09561031162646237
01093,29965,15.561358132356773,0.9306190555648256,0.056933088603370596,0.05508792399366614,20208,0.4596,0.10512577123872804
